timestamp,type,close,average20,average40,shares,amount
Mon Jan 24 2022 13:30,BUY,3397.95,3397.5,3418.8312500000006,0,109.24999999999909
Mon Jan 24 2022 10:30,SELLZERO,3390,3391.452500000001,3405.9212499999994,-1,3499.249999999999
Mon Jan 24 2022 10:15,BUY,3405.85,3392.63,3404.7912499999998,0,93.39999999999918
Mon Jan 24 2022 10:00,SELLZERO,3382.4,3392.7525,3402.84125,-1,3475.7999999999993
Mon Jan 24 2022 09:15,BUY,3400,3395.9575000000004,3399.6649999999995,0,75.79999999999927
Fri Jan 21 2022 15:00,BUYZERO,3437,3402.2575000000006,3400.347499999999,1,-3361.2000000000007
Fri Jan 21 2022 14:45,SELL,3400.25,3402.3725000000004,3399.9362499999997,0,39.04999999999927
Fri Jan 21 2022 14:30,BUYZERO,3417.65,3403.3175,3400.032499999999,1,-3378.600000000001
Fri Jan 21 2022 11:00,SELL,3429.9,3437.2925000000005,3415.1087500000003,0,51.29999999999927
Thu Jan 20 2022 15:15,SELLZERO,3308.75,3404.7175,3405.5712499999995,-1,3360.0499999999993
Thu Jan 20 2022 12:15,BUY,3330.7,3324.3824999999997,3380.8375,0,29.349999999999454
Thu Jan 20 2022 11:45,SELLZERO,3319,3319.495,3377.1337499999995,-1,3348.3499999999995
Thu Jan 20 2022 11:30,BUY,3322.55,3317.6699999999996,3374.7024999999994,0,25.799999999999272
Wed Jan 19 2022 14:45,BUYZERO,3434.2,3365.8,3359.8362500000003,1,-3408.4000000000005
Wed Jan 19 2022 11:45,SELL,3428.85,3429.459999999999,3375.183750000001,0,20.449999999999363
Wed Jan 19 2022 11:15,BUYZERO,3436.25,3432.0049999999997,3381.0737500000005,1,-3415.8000000000006
Wed Jan 19 2022 10:45,SELL,3431.3,3432.962499999999,3387.4625000000005,0,15.499999999999545
Wed Jan 19 2022 10:30,BUYZERO,3434.3,3433.7249999999995,3390.6662499999998,1,-3418.8000000000006
Wed Jan 19 2022 09:30,SELL,3414.95,3433.7375,3402.663750000001,0,-3.8500000000008185
Wed Jan 19 2022 09:15,BUYZERO,3438.6,3433.9175000000005,3405.693750000001,1,-3442.4500000000007
Tue Jan 18 2022 15:15,SELL,3416.9,3432.8125,3408.0875,0,-25.550000000000637
Tue Jan 18 2022 14:15,BUYZERO,3439,3429.55,3417.65,1,-3464.5500000000006
Tue Jan 18 2022 11:45,SELL,3435,3436.1049999999996,3434.915,0,-29.550000000000637
Tue Jan 18 2022 11:30,BUYZERO,3442.6,3436.3849999999998,3435.0600000000004,1,-3472.1500000000005
Tue Jan 18 2022 11:00,SELL,3420.95,3435.315,3434.971250000001,0,-51.20000000000073
Tue Jan 18 2022 09:30,BUYZERO,3445.6,3440.035,3434.8175,1,-3496.8000000000006
Mon Jan 17 2022 11:00,SELL,3491.65,3503.2699999999995,3471.1600000000008,0,-5.150000000000546
Fri Jan 14 2022 13:45,SELLZERO,3437.8,3476.5225000000005,3477.6450000000004,-1,3432.6499999999996
Fri Jan 14 2022 11:00,BUY,3441.8,3441.6975000000007,3474.1050000000005,0,-9.150000000000546
Thu Jan 13 2022 14:00,SELLZERO,3444.5,3446.5274999999992,3453.1637499999997,-1,3435.3499999999995
Thu Jan 13 2022 12:30,BUY,3447.5,3446.6049999999996,3445.3562500000007,0,-12.150000000000546
Thu Jan 13 2022 12:00,BUYZERO,3453.6,3446.9649999999992,3443.006250000001,1,-3465.7500000000005
Thu Jan 13 2022 11:30,SELL,3447.2,3447.8849999999993,3442.877500000001,0,-18.550000000000637
Thu Jan 13 2022 11:00,BUYZERO,3455.95,3447.579999999999,3443.723750000001,1,-3474.5000000000005
Thu Jan 13 2022 10:00,SELL,3445.25,3447.319999999999,3445.683750000001,0,-29.250000000000455
Thu Jan 13 2022 09:45,BUYZERO,3452,3447.5649999999996,3446.1062500000007,1,-3481.2500000000005
Wed Jan 12 2022 15:15,SELL,3440.1,3449.1299999999997,3447.8287499999997,0,-41.150000000000546
